Change Number,Opened At,Planned Start,Planned End,Actual Start,Actual End,Change Type,Risk,Priority,State,Category,Assignment Group,Assigned To,Location,Department,CI Name,Short Description,Conflict Status,Approval Status,On Hold Reason,Month Year,Quarter
CHG0000383,2023-10-17 17:00:49,2023-11-13 17:00:49,2023-11-14 00:00:49,2023-11-13 16:36:49,2023-11-13 21:36:49,Standard,Low,3 - Medium,Implement,Network,L2 Support,Rahul Sharma,Pune,Marketing,SAP Production,OS patch deployment,No Conflict,Approved,Vendor dependency,Oct-2023,Q4-2023
CHG0000384,2023-05-01 02:03:54,2023-05-11 02:03:54,2023-05-11 04:03:54,2023-05-11 01:36:54,2023-05-11 05:36:54,Emergency,High,1 - Critical,Implement,Application,DB Admins,Pooja Iyer,Chennai,HR,CRM Application,DB migration,No Conflict,Approved,Vendor dependency,May-2023,Q2-2023
CHG0000385,2023-05-13 02:11:38,2023-06-08 02:11:38,2023-06-08 09:11:38,,,Emergency,High,1 - Critical,Review,Security,Security Ops,Kavya Reddy,Mumbai,Sales,ERP Server,Load balancer config,No Conflict,Approved,Resource unavailable,May-2023,Q2-2023
CHG0000386,2023-05-13 15:41:23,2023-05-26 15:41:23,2023-05-26 17:41:23,2023-05-26 16:11:23,2023-05-26 18:11:23,Emergency,Low,1 - Critical,Closed,Network,L2 Support,Deepak Nair,Delhi NCR,Procurement,Load Balancer,Middleware upgrade,No Conflict,Approved,Resource unavailable,May-2023,Q2-2023
CHG0000387,2023-08-22 22:46:38,2023-09-11 22:46:38,2023-09-12 01:46:38,2023-09-11 23:15:38,2023-09-12 07:15:38,Emergency,Medium,1 - Critical,Closed,Email/Collaboration,Security Ops,Rahul Sharma,Delhi NCR,Legal,Core Switch,DR failover test,Conflict Detected,Approved,Awaiting approval,Aug-2023,Q3-2023
CHG0000388,2023-12-19 16:09:46,2024-01-14 16:09:46,2024-01-14 17:09:46,,,Standard,Medium,1 - Critical,Authorize,Email/Collaboration,App Support,Rohan Verma,Bangalore,Legal,Core Switch,Storage expansion,No Conflict,Approved,,Dec-2023,Q4-2023
CHG0000389,2023-10-10 11:59:17,2023-10-18 11:59:17,2023-10-18 13:59:17,2023-10-18 12:17:17,2023-10-18 20:17:17,Normal,High,2 - High,Closed,Database,DB Admins,Sneha Patil,Kolkata,Procurement,VPN Gateway,Network upgrade,Conflict Detected,Approved,Resource unavailable,Oct-2023,Q4-2023
CHG0000390,2023-02-18 22:05:59,2023-03-06 22:05:59,2023-03-06 23:05:59,2023-03-06 22:32:59,2023-03-07 00:32:59,Normal,Medium,4 - Low,Implement,Software,Network Ops,Anjali Singh,Mumbai,HR,Email Gateway,Storage expansion,No Conflict,Approved,Vendor dependency,Feb-2023,Q1-2023
CHG0000391,2023-08-09 12:38:56,2023-09-04 12:38:56,2023-09-04 16:38:56,2023-09-04 12:59:56,2023-09-04 20:59:56,Normal,Low,4 - Low,Closed,Application,DB Admins,Amit Desai,Kolkata,Sales,Firewall-01,OS patch deployment,No Conflict,Approved,Resource unavailable,Aug-2023,Q3-2023
CHG0000392,2023-07-16 02:38:53,2023-07-23 02:38:53,2023-07-23 03:38:53,2023-07-23 03:05:53,2023-07-23 04:05:53,Standard,Low,4 - Low,Closed,Email/Collaboration,App Support,Rohan Verma,Mumbai,Operations,Email Gateway,DR failover test,Conflict Detected,Approved,Awaiting approval,Jul-2023,Q3-2023
CHG0000393,2023-12-20 01:54:52,2024-01-15 01:54:52,2024-01-15 04:54:52,2024-01-15 01:45:52,2024-01-15 03:45:52,Standard,High,3 - Medium,Closed,Email/Collaboration,Network Ops,Deepak Nair,Chennai,Legal,Core Switch,Network upgrade,No Conflict,Approved,Awaiting approval,Dec-2023,Q4-2023
CHG0000394,2023-03-11 22:59:42,2023-04-08 22:59:42,2023-04-09 03:59:42,2023-04-08 22:49:42,2023-04-08 23:49:42,Emergency,Medium,2 - High,Closed,Application,L2 Support,Sneha Patil,Bangalore,Operations,ERP Server,Middleware upgrade,Conflict Detected,Approved,Awaiting approval,Mar-2023,Q1-2023
CHG0000395,2023-03-24 01:34:32,2023-03-31 01:34:32,2023-03-31 02:34:32,2023-03-31 01:06:32,2023-03-31 03:06:32,Standard,Medium,1 - Critical,Implement,Access Management,DB Admins,Rahul Sharma,Chennai,Sales,Load Balancer,Backup policy change,No Conflict,Approved,Vendor dependency,Mar-2023,Q1-2023
CHG0000396,2023-10-14 11:08:49,2023-10-28 11:08:49,2023-10-28 13:08:49,2023-10-28 11:22:49,2023-10-28 15:22:49,Emergency,High,1 - Critical,Implement,Application,Security Ops,Anjali Singh,Chennai,Operations,SAP Production,Storage expansion,Conflict Detected,Approved,Vendor dependency,Oct-2023,Q4-2023
CHG0000397,2023-11-15 00:08:18,2023-11-28 00:08:18,2023-11-28 02:08:18,2023-11-28 00:31:18,2023-11-28 08:31:18,Emergency,Low,3 - Medium,Closed,Security,Network Ops,Deepak Nair,Delhi NCR,Operations,Oracle DB,Network upgrade,No Conflict,Approved,Testing required,Nov-2023,Q4-2023
CHG0000398,2023-09-04 17:37:51,2023-09-15 17:37:51,2023-09-15 22:37:51,2023-09-15 17:50:51,2023-09-15 18:50:51,Standard,Low,3 - Medium,Closed,Network,App Support,Anjali Singh,Hyderabad,Procurement,Active Directory,OS patch deployment,No Conflict,Pending,Resource unavailable,Sep-2023,Q3-2023
CHG0000399,2023-05-23 21:54:06,2023-06-09 21:54:06,2023-06-10 05:54:06,,,Normal,Medium,3 - Medium,Review,Database,DB Admins,Vikram Joshi,Mumbai,Marketing,CRM Application,OS patch deployment,No Conflict,Approved,Resource unavailable,May-2023,Q2-2023
CHG0000400,2023-09-13 04:43:59,2023-10-11 04:43:59,2023-10-11 08:43:59,2023-10-11 04:15:59,2023-10-11 11:15:59,Standard,Medium,4 - Low,Closed,Network,L1 Support,Rohan Verma,Pune,Procurement,SAP Production,Backup policy change,No Conflict,Approved,Vendor dependency,Sep-2023,Q3-2023
CHG0000401,2023-01-28 04:20:27,2023-02-17 04:20:27,2023-02-17 12:20:27,2023-02-17 04:40:27,2023-02-17 05:40:27,Emergency,Medium,2 - High,Closed,Software,Network Ops,Sneha Patil,Bangalore,Finance,SAP Production,SSL certificate renewal,No Conflict,Approved,Awaiting approval,Jan-2023,Q1-2023
CHG0000402,2023-08-29 13:05:38,2023-09-11 13:05:38,2023-09-11 20:05:38,,,Emergency,High,4 - Low,Cancelled,Security,L2 Support,Vikram Joshi,Bangalore,Sales,CRM Application,Backup policy change,No Conflict,Approved,Awaiting approval,Aug-2023,Q3-2023
CHG0000403,2023-12-31 00:27:43,2024-01-18 00:27:43,2024-01-18 03:27:43,,,Normal,Low,4 - Low,Cancelled,Application,L2 Support,Pooja Iyer,Bangalore,Operations,Firewall-01,Middleware upgrade,No Conflict,Approved,Awaiting approval,Dec-2023,Q4-2023
CHG0000404,2023-03-25 21:52:29,2023-04-22 21:52:29,2023-04-23 00:52:29,2023-04-22 22:12:29,2023-04-22 23:12:29,Emergency,Medium,4 - Low,Implement,Database,L1 Support,Deepak Nair,Kolkata,HR,Core Switch,Load balancer config,No Conflict,Approved,Awaiting approval,Mar-2023,Q1-2023
CHG0000405,2023-05-27 02:47:51,2023-06-05 02:47:51,2023-06-05 10:47:51,2023-06-05 02:56:51,2023-06-05 05:56:51,Standard,Medium,4 - Low,Implement,Hardware,DB Admins,Anjali Singh,Chennai,Sales,Firewall-01,OS patch deployment,No Conflict,Approved,Testing required,May-2023,Q2-2023
CHG0000406,2023-02-05 10:50:35,2023-02-17 10:50:35,2023-02-17 16:50:35,,,Standard,Medium,4 - Low,Review,Access Management,L1 Support,Priya Menon,Delhi NCR,Sales,Firewall-01,DR failover test,No Conflict,Approved,Resource unavailable,Feb-2023,Q1-2023
CHG0000407,2023-03-29 07:56:38,2023-04-09 07:56:38,2023-04-09 10:56:38,,,Emergency,Low,3 - Medium,Review,Software,App Support,Anjali Singh,Chennai,IT,Firewall-01,SSL certificate renewal,No Conflict,Approved,Testing required,Mar-2023,Q1-2023
CHG0000408,2023-01-20 21:59:20,2023-02-03 21:59:20,2023-02-03 22:59:20,2023-02-03 22:21:20,2023-02-04 06:21:20,Normal,Medium,1 - Critical,Implement,Access Management,Network Ops,Anjali Singh,Chennai,Procurement,Firewall-01,Network upgrade,Conflict Detected,Approved,,Jan-2023,Q1-2023
CHG0000409,2023-12-05 16:46:27,2023-12-27 16:46:27,2023-12-27 21:46:27,,,Emergency,Low,4 - Low,Authorize,Application,Security Ops,Kavya Reddy,Chennai,IT,Active Directory,SSL certificate renewal,No Conflict,Approved,Resource unavailable,Dec-2023,Q4-2023
CHG0000410,2023-12-18 16:42:28,2024-01-06 16:42:28,2024-01-07 00:42:28,2024-01-06 16:58:28,2024-01-06 18:58:28,Normal,Low,2 - High,Closed,Software,App Support,Deepak Nair,Bangalore,HR,Email Gateway,Backup policy change,No Conflict,Pending,Testing required,Dec-2023,Q4-2023
CHG0000411,2023-02-22 03:49:11,2023-03-11 03:49:11,2023-03-11 09:49:11,,,Normal,High,1 - Critical,Authorize,Security,L1 Support,Pooja Iyer,Pune,Legal,Firewall-01,DB migration,No Conflict,Rejected,Resource unavailable,Feb-2023,Q1-2023
CHG0000412,2023-09-26 17:30:12,2023-10-10 17:30:12,2023-10-10 18:30:12,,,Normal,Medium,1 - Critical,Authorize,Network,Infra Team,Pooja Iyer,Mumbai,Finance,Oracle DB,SSL certificate renewal,No Conflict,Approved,Vendor dependency,Sep-2023,Q3-2023
CHG0000413,2023-06-10 20:00:53,2023-06-28 20:00:53,2023-06-29 02:00:53,2023-06-28 19:50:53,2023-06-29 03:50:53,Emergency,High,3 - Medium,Implement,Access Management,App Support,Sneha Patil,Kolkata,Operations,Core Switch,Backup policy change,Conflict Detected,Approved,Resource unavailable,Jun-2023,Q2-2023
CHG0000414,2023-01-01 19:43:35,2023-01-24 19:43:35,2023-01-24 22:43:35,,,Standard,High,4 - Low,Review,Network,DB Admins,Sneha Patil,Bangalore,Finance,Email Gateway,Middleware upgrade,No Conflict,Approved,Testing required,Jan-2023,Q1-2023
CHG0000415,2023-07-02 00:53:23,2023-07-26 00:53:23,2023-07-26 04:53:23,,,Standard,Medium,4 - Low,Review,Email/Collaboration,Security Ops,Anjali Singh,Bangalore,Procurement,VPN Gateway,Storage expansion,No Conflict,Approved,Resource unavailable,Jul-2023,Q3-2023
CHG0000416,2023-04-29 12:47:59,2023-05-08 12:47:59,2023-05-08 18:47:59,,,Normal,Medium,3 - Medium,Review,Application,Network Ops,Priya Menon,Chennai,Sales,Load Balancer,SSL certificate renewal,No Conflict,Approved,,Apr-2023,Q2-2023
CHG0000417,2023-02-21 06:25:59,2023-03-08 06:25:59,2023-03-08 09:25:59,2023-03-08 06:37:59,2023-03-08 11:37:59,Normal,Medium,4 - Low,Closed,Security,Network Ops,Deepak Nair,Kolkata,Finance,Load Balancer,Backup policy change,No Conflict,Pending,Vendor dependency,Feb-2023,Q1-2023
CHG0000418,2023-08-28 22:27:57,2023-09-06 22:27:57,2023-09-07 03:27:57,2023-09-06 22:27:57,2023-09-06 23:27:57,Emergency,Medium,3 - Medium,Closed,Application,L2 Support,Amit Desai,Pune,Legal,Load Balancer,Firewall rule update,No Conflict,Approved,,Aug-2023,Q3-2023
CHG0000419,2023-01-13 14:52:06,2023-01-23 14:52:06,2023-01-23 17:52:06,,,Standard,Medium,2 - High,Cancelled,Access Management,Network Ops,Vikram Joshi,Kolkata,IT,CRM Application,DR failover test,No Conflict,Pending,Awaiting approval,Jan-2023,Q1-2023
CHG0000420,2023-04-07 18:06:09,2023-04-26 18:06:09,2023-04-27 00:06:09,2023-04-26 17:37:09,2023-04-26 18:37:09,Standard,Medium,1 - Critical,Implement,Email/Collaboration,DB Admins,Vikram Joshi,Pune,Procurement,ERP Server,OS patch deployment,No Conflict,Approved,Resource unavailable,Apr-2023,Q2-2023
CHG0000421,2023-08-11 17:03:39,2023-08-19 17:03:39,2023-08-19 22:03:39,,,Normal,High,2 - High,Review,Application,L1 Support,Rohan Verma,Kolkata,Finance,CRM Application,Backup policy change,No Conflict,Approved,Resource unavailable,Aug-2023,Q3-2023
CHG0000422,2023-04-12 22:28:59,2023-05-02 22:28:59,2023-05-03 00:28:59,,,Standard,Low,1 - Critical,Cancelled,Email/Collaboration,Infra Team,Deepak Nair,Hyderabad,Procurement,ERP Server,OS patch deployment,No Conflict,Approved,Vendor dependency,Apr-2023,Q2-2023
CHG0000423,2023-11-09 23:28:02,2023-11-25 23:28:02,2023-11-26 07:28:02,2023-11-25 23:45:02,2023-11-26 03:45:02,Standard,Low,3 - Medium,Closed,Access Management,DB Admins,Amit Desai,Chennai,Procurement,Core Switch,DR failover test,No Conflict,Approved,Awaiting approval,Nov-2023,Q4-2023
CHG0000424,2023-08-18 00:17:16,2023-09-10 00:17:16,2023-09-10 01:17:16,2023-09-10 00:36:16,2023-09-10 05:36:16,Emergency,High,3 - Medium,Closed,Application,L2 Support,Anjali Singh,Mumbai,IT,Oracle DB,Network upgrade,No Conflict,Pending,,Aug-2023,Q3-2023
CHG0000425,2023-05-18 19:56:06,2023-06-10 19:56:06,2023-06-11 02:56:06,,,Standard,Medium,4 - Low,Cancelled,Database,L1 Support,Amit Desai,Bangalore,Finance,Email Gateway,Network upgrade,No Conflict,Approved,Resource unavailable,May-2023,Q2-2023
CHG0000426,2023-09-16 12:20:26,2023-09-24 12:20:26,2023-09-24 14:20:26,2023-09-24 11:55:26,2023-09-24 14:55:26,Standard,High,3 - Medium,Implement,Hardware,L2 Support,Vikram Joshi,Delhi NCR,Operations,Email Gateway,Network upgrade,Conflict Detected,Pending,,Sep-2023,Q3-2023
CHG0000427,2023-10-01 22:36:18,2023-10-21 22:36:18,2023-10-22 04:36:18,2023-10-21 22:30:18,2023-10-22 03:30:18,Standard,Medium,2 - High,Implement,Email/Collaboration,App Support,Rahul Sharma,Kolkata,HR,ERP Server,DB migration,No Conflict,Approved,Vendor dependency,Oct-2023,Q4-2023
CHG0000428,2023-05-18 10:13:13,2023-06-15 10:13:13,2023-06-15 11:13:13,,,Standard,High,4 - Low,Review,Email/Collaboration,App Support,Rohan Verma,Kolkata,IT,VPN Gateway,Backup policy change,No Conflict,Approved,Vendor dependency,May-2023,Q2-2023
CHG0000429,2023-12-20 12:24:44,2024-01-15 12:24:44,2024-01-15 15:24:44,2024-01-15 11:59:44,2024-01-15 13:59:44,Normal,Medium,1 - Critical,Implement,Security,Infra Team,Rahul Sharma,Chennai,Procurement,Active Directory,OS patch deployment,No Conflict,Pending,Testing required,Dec-2023,Q4-2023
CHG0000430,2023-02-01 10:59:06,2023-02-25 10:59:06,2023-02-25 16:59:06,2023-02-25 10:40:06,2023-02-25 15:40:06,Emergency,Medium,1 - Critical,Closed,Software,Infra Team,Kavya Reddy,Kolkata,Sales,ERP Server,Load balancer config,No Conflict,Approved,Vendor dependency,Feb-2023,Q1-2023
CHG0000431,2023-02-22 17:19:02,2023-03-01 17:19:02,2023-03-02 01:19:02,2023-03-01 17:29:02,2023-03-01 21:29:02,Normal,Low,4 - Low,Implement,Email/Collaboration,L1 Support,Sneha Patil,Mumbai,Operations,SAP Production,DB migration,No Conflict,Rejected,Testing required,Feb-2023,Q1-2023
CHG0000432,2023-10-16 19:01:05,2023-10-28 19:01:05,2023-10-28 22:01:05,,,Standard,Low,3 - Medium,Review,Application,Security Ops,Rahul Sharma,Kolkata,Marketing,Load Balancer,DR failover test,No Conflict,Approved,,Oct-2023,Q4-2023
CHG0000433,2023-04-23 02:24:57,2023-05-05 02:24:57,2023-05-05 06:24:57,2023-05-05 02:44:57,2023-05-05 04:44:57,Normal,Medium,3 - Medium,Implement,Email/Collaboration,Infra Team,Deepak Nair,Bangalore,HR,ERP Server,DR failover test,No Conflict,Approved,,Apr-2023,Q2-2023
CHG0000434,2023-12-10 12:19:15,2024-01-06 12:19:15,2024-01-06 15:19:15,2024-01-06 12:08:15,2024-01-06 14:08:15,Normal,High,3 - Medium,Implement,Application,Network Ops,Deepak Nair,Delhi NCR,Operations,VPN Gateway,OS patch deployment,Conflict Detected,Approved,Testing required,Dec-2023,Q4-2023
CHG0000435,2023-01-15 04:00:23,2023-02-05 04:00:23,2023-02-05 07:00:23,,,Normal,Low,4 - Low,Review,Access Management,Security Ops,Anjali Singh,Delhi NCR,IT,CRM Application,DR failover test,No Conflict,Approved,Vendor dependency,Jan-2023,Q1-2023
CHG0000436,2023-09-06 00:37:51,2023-09-16 00:37:51,2023-09-16 02:37:51,,,Normal,High,2 - High,Cancelled,Network,Network Ops,Rahul Sharma,Pune,IT,Core Switch,OS patch deployment,No Conflict,Approved,Testing required,Sep-2023,Q3-2023
CHG0000437,2023-04-08 18:32:42,2023-04-20 18:32:42,2023-04-20 21:32:42,,,Standard,Medium,1 - Critical,Review,Email/Collaboration,App Support,Priya Menon,Kolkata,IT,CRM Application,Network upgrade,No Conflict,Pending,,Apr-2023,Q2-2023
CHG0000438,2023-09-21 15:58:41,2023-10-13 15:58:41,2023-10-13 19:58:41,2023-10-13 16:16:41,2023-10-13 17:16:41,Emergency,Medium,2 - High,Implement,Application,L2 Support,Rahul Sharma,Pune,Sales,Active Directory,Load balancer config,No Conflict,Approved,Awaiting approval,Sep-2023,Q3-2023
CHG0000439,2023-06-30 03:31:14,2023-07-15 03:31:14,2023-07-15 09:31:14,2023-07-15 03:23:14,2023-07-15 10:23:14,Standard,Medium,3 - Medium,Implement,Access Management,App Support,Rahul Sharma,Hyderabad,Legal,Firewall-01,Firewall rule update,No Conflict,Approved,Vendor dependency,Jun-2023,Q2-2023
CHG0000440,2023-02-11 11:06:57,2023-03-04 11:06:57,2023-03-04 15:06:57,,,Emergency,Medium,4 - Low,Review,Application,App Support,Priya Menon,Delhi NCR,Sales,Load Balancer,Network upgrade,No Conflict,Approved,,Feb-2023,Q1-2023
CHG0000441,2023-05-24 05:31:39,2023-06-17 05:31:39,2023-06-17 11:31:39,2023-06-17 05:48:39,2023-06-17 13:48:39,Emergency,High,4 - Low,Closed,Application,App Support,Rohan Verma,Delhi NCR,Legal,ERP Server,DR failover test,No Conflict,Approved,Vendor dependency,May-2023,Q2-2023
CHG0000442,2023-12-06 04:45:15,2023-12-30 04:45:15,2023-12-30 06:45:15,,,Standard,Medium,2 - High,Authorize,Email/Collaboration,Infra Team,Amit Desai,Delhi NCR,IT,Load Balancer,DR failover test,No Conflict,Approved,Awaiting approval,Dec-2023,Q4-2023
CHG0000443,2023-06-06 20:32:10,2023-07-03 20:32:10,2023-07-04 04:32:10,,,Standard,Low,4 - Low,Review,Database,App Support,Deepak Nair,Bangalore,Procurement,VPN Gateway,OS patch deployment,No Conflict,Pending,Testing required,Jun-2023,Q2-2023
CHG0000444,2023-10-22 21:16:56,2023-11-19 21:16:56,2023-11-19 23:16:56,,,Standard,Low,4 - Low,Review,Database,Infra Team,Kavya Reddy,Mumbai,Operations,ERP Server,Load balancer config,No Conflict,Pending,Awaiting approval,Oct-2023,Q4-2023
CHG0000445,2023-08-16 03:58:47,2023-09-07 03:58:47,2023-09-07 07:58:47,,,Normal,Low,3 - Medium,Review,Network,L2 Support,Vikram Joshi,Mumbai,Sales,VPN Gateway,Firewall rule update,No Conflict,Approved,Resource unavailable,Aug-2023,Q3-2023
CHG0000446,2023-01-04 01:11:49,2023-01-29 01:11:49,2023-01-29 08:11:49,2023-01-29 01:35:49,2023-01-29 04:35:49,Normal,Low,3 - Medium,Closed,Application,DB Admins,Rahul Sharma,Pune,Marketing,Email Gateway,Firewall rule update,Conflict Detected,Pending,Testing required,Jan-2023,Q1-2023
CHG0000447,2023-08-26 07:06:41,2023-09-10 07:06:41,2023-09-10 10:06:41,2023-09-10 06:42:41,2023-09-10 09:42:41,Standard,Low,3 - Medium,Implement,Security,DB Admins,Amit Desai,Chennai,Finance,Active Directory,Storage expansion,Conflict Detected,Approved,Awaiting approval,Aug-2023,Q3-2023
CHG0000448,2023-01-18 19:51:29,2023-02-11 19:51:29,2023-02-12 00:51:29,,,Emergency,Low,1 - Critical,Authorize,Application,L2 Support,Kavya Reddy,Bangalore,Finance,Email Gateway,SSL certificate renewal,No Conflict,Approved,Testing required,Jan-2023,Q1-2023
CHG0000449,2023-06-27 21:35:20,2023-07-13 21:35:20,2023-07-14 00:35:20,,,Emergency,Low,2 - High,Authorize,Software,App Support,Deepak Nair,Hyderabad,HR,CRM Application,OS patch deployment,No Conflict,Pending,Testing required,Jun-2023,Q2-2023
CHG0000450,2023-03-20 00:20:08,2023-03-30 00:20:08,2023-03-30 05:20:08,2023-03-29 23:57:08,2023-03-30 07:57:08,Normal,Low,4 - Low,Implement,Security,Security Ops,Rohan Verma,Delhi NCR,Sales,Oracle DB,Middleware upgrade,No Conflict,Rejected,Resource unavailable,Mar-2023,Q1-2023
CHG0000451,2023-11-09 13:58:08,2023-11-19 13:58:08,2023-11-19 17:58:08,,,Standard,High,1 - Critical,Authorize,Network,L1 Support,Priya Menon,Kolkata,Operations,Email Gateway,SSL certificate renewal,Conflict Detected,Approved,Vendor dependency,Nov-2023,Q4-2023
CHG0000452,2023-12-19 01:40:52,2024-01-13 01:40:52,2024-01-13 06:40:52,2024-01-13 01:54:52,2024-01-13 03:54:52,Normal,Medium,4 - Low,Closed,Network,L1 Support,Amit Desai,Mumbai,Procurement,Load Balancer,Middleware upgrade,No Conflict,Approved,Vendor dependency,Dec-2023,Q4-2023
CHG0000453,2023-05-18 05:25:14,2023-06-02 05:25:14,2023-06-02 06:25:14,2023-06-02 05:30:14,2023-06-02 06:30:14,Standard,Medium,2 - High,Closed,Email/Collaboration,App Support,Pooja Iyer,Mumbai,Marketing,CRM Application,OS patch deployment,No Conflict,Approved,Awaiting approval,May-2023,Q2-2023
CHG0000454,2023-04-06 03:18:01,2023-04-17 03:18:01,2023-04-17 06:18:01,,,Emergency,High,3 - Medium,Authorize,Network,DB Admins,Sneha Patil,Kolkata,HR,VPN Gateway,Backup policy change,No Conflict,Rejected,Resource unavailable,Apr-2023,Q2-2023
CHG0000455,2023-06-28 01:08:21,2023-07-24 01:08:21,2023-07-24 03:08:21,,,Normal,Medium,4 - Low,Authorize,Network,L1 Support,Rohan Verma,Bangalore,Procurement,CRM Application,DR failover test,No Conflict,Approved,Resource unavailable,Jun-2023,Q2-2023
CHG0000456,2023-06-15 20:46:17,2023-07-07 20:46:17,2023-07-07 23:46:17,,,Emergency,High,3 - Medium,Review,Security,Network Ops,Kavya Reddy,Kolkata,Sales,Core Switch,Backup policy change,No Conflict,Pending,Testing required,Jun-2023,Q2-2023
CHG0000457,2023-12-21 11:35:27,2024-01-08 11:35:27,2024-01-08 17:35:27,2024-01-08 11:43:27,2024-01-08 13:43:27,Emergency,Low,2 - High,Closed,Access Management,Security Ops,Vikram Joshi,Hyderabad,Legal,Core Switch,Firewall rule update,No Conflict,Approved,Testing required,Dec-2023,Q4-2023
CHG0000458,2023-03-08 00:12:21,2023-03-24 00:12:21,2023-03-24 07:12:21,2023-03-24 00:35:21,2023-03-24 05:35:21,Normal,Low,1 - Critical,Closed,Network,Network Ops,Rahul Sharma,Bangalore,Sales,Firewall-01,SSL certificate renewal,No Conflict,Pending,Vendor dependency,Mar-2023,Q1-2023
CHG0000459,2023-08-24 17:31:37,2023-09-09 17:31:37,2023-09-09 23:31:37,2023-09-09 17:10:37,2023-09-10 00:10:37,Normal,High,2 - High,Implement,Hardware,Network Ops,Pooja Iyer,Bangalore,Marketing,CRM Application,Load balancer config,No Conflict,Approved,Awaiting approval,Aug-2023,Q3-2023
CHG0000460,2023-06-05 06:17:01,2023-06-21 06:17:01,2023-06-21 07:17:01,2023-06-21 06:37:01,2023-06-21 11:37:01,Standard,Low,1 - Critical,Implement,Hardware,DB Admins,Priya Menon,Kolkata,Sales,Oracle DB,Storage expansion,Conflict Detected,Approved,,Jun-2023,Q2-2023
CHG0000461,2023-01-10 10:47:29,2023-02-04 10:47:29,2023-02-04 13:47:29,2023-02-04 11:05:29,2023-02-04 18:05:29,Standard,High,1 - Critical,Implement,Database,Infra Team,Priya Menon,Pune,Procurement,Email Gateway,Middleware upgrade,No Conflict,Approved,,Jan-2023,Q1-2023
CHG0000462,2023-01-19 21:09:46,2023-01-28 21:09:46,2023-01-28 23:09:46,2023-01-28 20:45:46,2023-01-29 02:45:46,Normal,High,4 - Low,Closed,Email/Collaboration,Infra Team,Pooja Iyer,Delhi NCR,Legal,ERP Server,Backup policy change,No Conflict,Approved,Awaiting approval,Jan-2023,Q1-2023
CHG0000463,2023-09-22 22:19:20,2023-10-06 22:19:20,2023-10-07 01:19:20,2023-10-06 21:50:20,2023-10-07 05:50:20,Standard,Medium,4 - Low,Closed,Hardware,Security Ops,Rahul Sharma,Mumbai,Legal,Email Gateway,Middleware upgrade,No Conflict,Approved,Awaiting approval,Sep-2023,Q3-2023
CHG0000464,2023-01-17 09:14:43,2023-02-07 09:14:43,2023-02-07 14:14:43,2023-02-07 09:31:43,2023-02-07 11:31:43,Emergency,Low,2 - High,Closed,Access Management,L2 Support,Rahul Sharma,Bangalore,Marketing,SAP Production,Middleware upgrade,No Conflict,Approved,Resource unavailable,Jan-2023,Q1-2023
CHG0000465,2023-04-20 17:24:50,2023-04-27 17:24:50,2023-04-27 23:24:50,,,Emergency,Medium,1 - Critical,Review,Application,App Support,Anjali Singh,Kolkata,Sales,ERP Server,Backup policy change,No Conflict,Pending,,Apr-2023,Q2-2023
CHG0000466,2023-08-29 15:11:16,2023-09-13 15:11:16,2023-09-13 20:11:16,2023-09-13 15:16:16,2023-09-13 17:16:16,Standard,Low,4 - Low,Closed,Software,Network Ops,Amit Desai,Kolkata,HR,Core Switch,Middleware upgrade,Conflict Detected,Pending,,Aug-2023,Q3-2023
CHG0000467,2023-04-01 09:17:08,2023-04-09 09:17:08,2023-04-09 16:17:08,,,Normal,Medium,4 - Low,Review,Software,L1 Support,Rohan Verma,Delhi NCR,HR,CRM Application,OS patch deployment,Conflict Detected,Pending,Testing required,Apr-2023,Q2-2023
CHG0000468,2023-09-02 00:42:15,2023-09-18 00:42:15,2023-09-18 08:42:15,,,Emergency,Medium,2 - High,Review,Network,DB Admins,Vikram Joshi,Delhi NCR,IT,CRM Application,DR failover test,No Conflict,Approved,Awaiting approval,Sep-2023,Q3-2023
CHG0000469,2023-09-21 20:55:59,2023-10-18 20:55:59,2023-10-18 22:55:59,,,Standard,Medium,3 - Medium,Review,Security,Infra Team,Vikram Joshi,Delhi NCR,HR,ERP Server,SSL certificate renewal,Conflict Detected,Pending,Vendor dependency,Sep-2023,Q3-2023
CHG0000470,2023-03-18 04:07:31,2023-03-26 04:07:31,2023-03-26 12:07:31,2023-03-26 03:45:31,2023-03-26 07:45:31,Emergency,High,2 - High,Closed,Application,DB Admins,Vikram Joshi,Hyderabad,Operations,ERP Server,Backup policy change,No Conflict,Rejected,Awaiting approval,Mar-2023,Q1-2023
CHG0000471,2023-01-30 04:43:41,2023-02-23 04:43:41,2023-02-23 08:43:41,,,Emergency,High,3 - Medium,Review,Hardware,L1 Support,Deepak Nair,Bangalore,HR,VPN Gateway,Load balancer config,No Conflict,Approved,Resource unavailable,Jan-2023,Q1-2023
CHG0000472,2023-10-21 17:18:42,2023-11-17 17:18:42,2023-11-17 21:18:42,2023-11-17 17:07:42,2023-11-17 21:07:42,Standard,Medium,1 - Critical,Closed,Security,Infra Team,Amit Desai,Mumbai,Operations,Firewall-01,OS patch deployment,No Conflict,Approved,,Oct-2023,Q4-2023
