Problem Number,Opened At,Resolved At,Category,Priority,Impact,State,Assignment Group,Assigned To,Location,Department,CI Name,Short Description,Known Error,Workaround,Related Incidents,Root Cause,Resolution Days,Month Year,Quarter
PRB0000122,27-04-2023 17:43,,Database,3 - Medium,3 - Multiple Users,In Progress,DB Admins,Deepak Nair,Chennai,Procurement,VPN Gateway,Printer offline,No,No,23,Software defect,,Apr-23,Q2-2023
PRB0000123,21-03-2023 22:03,10-04-2023 22:03,Software,2 - High,2 - Department,Closed,L1 Support,Amit Desai,Chennai,Legal,Core Switch,Service unavailable,Yes,No,10,Vendor issue,20,Mar-23,Q1-2023
PRB0000124,15-12-2023 01:06,,Access Management,3 - Medium,2 - Department,In Progress,Infra Team,Amit Desai,Bangalore,HR,Oracle DB,Service unavailable,No,Yes,8,Vendor issue,,Dec-23,Q4-2023
PRB0000125,20-10-2023 02:18,,Email/Collaboration,2 - High,2 - Department,In Progress,Security Ops,Anjali Singh,Pune,Operations,Load Balancer,System not responding,Yes,No,10,Hardware failure,,Oct-23,Q4-2023
PRB0000126,14-05-2023 04:01,,Access Management,2 - High,1 - Enterprise,In Progress,Security Ops,Anjali Singh,Pune,Finance,Core Switch,Database timeout,Yes,Yes,20,Configuration error,,May-23,Q2-2023
PRB0000127,30-03-2023 01:21,08-04-2023 01:21,Database,1 - Critical,3 - Multiple Users,Closed,Infra Team,Kavya Reddy,Kolkata,Marketing,SAP Production,System not responding,Yes,Yes,2,Capacity issue,9,Mar-23,Q1-2023
PRB0000128,16-08-2023 13:08,08-09-2023 13:08,Software,2 - High,2 - Department,Closed,Infra Team,Kavya Reddy,Kolkata,Procurement,Load Balancer,VPN disconnecting,Yes,Yes,22,Human error,23,Aug-23,Q3-2023
PRB0000129,23-11-2023 17:43,03-12-2023 17:43,Software,1 - Critical,2 - Department,Closed,Security Ops,Deepak Nair,Kolkata,IT,ERP Server,Service unavailable,Yes,No,25,Configuration error,10,Nov-23,Q4-2023
PRB0000130,06-10-2023 02:53,,Database,2 - High,1 - Enterprise,Open,L1 Support,Priya Menon,Delhi NCR,Sales,ERP Server,System not responding,Yes,Yes,8,Vendor issue,,Oct-23,Q4-2023
PRB0000131,13-06-2023 01:45,17-06-2023 01:45,Software,2 - High,2 - Department,Closed,L1 Support,Anjali Singh,Delhi NCR,HR,Active Directory,Email not working,No,No,8,Hardware failure,4,Jun-23,Q2-2023
PRB0000132,29-12-2023 08:41,30-12-2023 08:41,Application,2 - High,3 - Multiple Users,Resolved,DB Admins,Pooja Iyer,Chennai,Legal,ERP Server,VPN disconnecting,No,Yes,7,Configuration error,1,Dec-23,Q4-2023
PRB0000133,12-09-2023 22:34,30-11-2023 22:34,Software,1 - Critical,1 - Enterprise,Resolved,Security Ops,Priya Menon,Pune,Procurement,Email Gateway,Slow performance,No,No,19,Human error,79,Sep-23,Q3-2023
PRB0000134,04-03-2023 08:21,07-05-2023 08:21,Database,4 - Low,4 - Individual,Closed,DB Admins,Anjali Singh,Delhi NCR,HR,Oracle DB,Network outage,Yes,No,12,Network fault,64,Mar-23,Q1-2023
PRB0000135,09-01-2023 21:14,,Network,3 - Medium,1 - Enterprise,Open,DB Admins,Anjali Singh,Bangalore,HR,Oracle DB,Service unavailable,Yes,No,2,Vendor issue,,Jan-23,Q1-2023
PRB0000136,02-09-2023 08:26,20-09-2023 08:26,Network,1 - Critical,2 - Department,Resolved,DB Admins,Kavya Reddy,Mumbai,Operations,ERP Server,Network outage,Yes,Yes,5,Vendor issue,18,Sep-23,Q3-2023
PRB0000137,08-05-2023 06:52,18-07-2023 06:52,Network,1 - Critical,2 - Department,Closed,App Support,Deepak Nair,Bangalore,IT,Active Directory,Slow performance,No,No,13,Human error,71,May-23,Q2-2023
PRB0000138,12-10-2023 22:26,21-10-2023 22:26,Network,1 - Critical,1 - Enterprise,Closed,Network Ops,Anjali Singh,Bangalore,Sales,CRM Application,VPN disconnecting,Yes,Yes,18,Capacity issue,9,Oct-23,Q4-2023
PRB0000139,01-08-2023 13:29,14-08-2023 13:29,Application,1 - Critical,4 - Individual,Resolved,App Support,Kavya Reddy,Kolkata,Operations,Load Balancer,Email not working,Yes,No,22,Software defect,13,Aug-23,Q3-2023
PRB0000140,08-07-2023 23:46,01-09-2023 23:46,Security,3 - Medium,3 - Multiple Users,Closed,Infra Team,Priya Menon,Pune,Procurement,SAP Production,VPN disconnecting,No,No,7,Network fault,55,Jul-23,Q3-2023
PRB0000141,08-06-2023 23:48,02-09-2023 23:48,Network,2 - High,4 - Individual,Resolved,Infra Team,Vikram Joshi,Pune,Finance,Active Directory,System not responding,No,Yes,22,Capacity issue,86,Jun-23,Q2-2023
PRB0000142,26-12-2023 14:49,04-01-2024 14:49,Hardware,2 - High,1 - Enterprise,Closed,L2 Support,Anjali Singh,Hyderabad,Sales,VPN Gateway,Printer offline,No,No,21,Capacity issue,9,Dec-23,Q4-2023
PRB0000143,28-10-2023 19:25,,Access Management,4 - Low,2 - Department,In Progress,App Support,Anjali Singh,Pune,Finance,Oracle DB,Application error,No,No,20,Hardware failure,,Oct-23,Q4-2023
PRB0000144,15-11-2023 09:12,,Access Management,3 - Medium,1 - Enterprise,Open,DB Admins,Pooja Iyer,Hyderabad,Operations,Core Switch,Printer offline,No,No,2,Capacity issue,,Nov-23,Q4-2023
PRB0000145,08-01-2023 13:19,,Access Management,3 - Medium,3 - Multiple Users,Open,L1 Support,Rohan Verma,Mumbai,HR,SAP Production,Network outage,Yes,No,4,Human error,,Jan-23,Q1-2023
PRB0000146,27-07-2023 18:11,09-08-2023 18:11,Email/Collaboration,3 - Medium,3 - Multiple Users,Resolved,L2 Support,Priya Menon,Delhi NCR,Operations,Oracle DB,Cannot login,No,No,1,Configuration error,13,Jul-23,Q3-2023
PRB0000147,19-09-2023 12:40,,Access Management,4 - Low,3 - Multiple Users,In Progress,L2 Support,Rahul Sharma,Bangalore,HR,VPN Gateway,VPN disconnecting,Yes,No,19,Configuration error,,Sep-23,Q3-2023
PRB0000148,07-07-2023 01:04,12-09-2023 01:04,Application,2 - High,4 - Individual,Closed,Network Ops,Rahul Sharma,Delhi NCR,Sales,VPN Gateway,Application error,No,No,16,Software defect,67,Jul-23,Q3-2023
PRB0000149,09-01-2023 04:39,13-02-2023 04:39,Network,3 - Medium,4 - Individual,Resolved,DB Admins,Vikram Joshi,Pune,Legal,Firewall-01,Cannot login,No,No,16,Vendor issue,35,Jan-23,Q1-2023
PRB0000150,13-04-2023 15:16,07-07-2023 15:16,Hardware,3 - Medium,3 - Multiple Users,Resolved,DB Admins,Rohan Verma,Bangalore,Sales,Email Gateway,Network outage,No,No,20,Hardware failure,85,Apr-23,Q2-2023
PRB0000151,29-08-2023 06:48,22-11-2023 06:48,Email/Collaboration,1 - Critical,1 - Enterprise,Resolved,App Support,Deepak Nair,Kolkata,HR,VPN Gateway,Application error,No,Yes,2,Configuration error,85,Aug-23,Q3-2023
PRB0000152,02-02-2023 06:41,15-02-2023 06:41,Email/Collaboration,2 - High,3 - Multiple Users,Closed,DB Admins,Sneha Patil,Delhi NCR,IT,CRM Application,Database timeout,No,Yes,22,Capacity issue,13,Feb-23,Q1-2023
PRB0000153,17-02-2023 04:37,11-05-2023 04:37,Software,3 - Medium,3 - Multiple Users,Closed,App Support,Pooja Iyer,Hyderabad,Sales,Email Gateway,Network outage,No,No,13,Hardware failure,83,Feb-23,Q1-2023
PRB0000154,12-05-2023 04:39,,Security,1 - Critical,1 - Enterprise,Open,L1 Support,Amit Desai,Bangalore,Procurement,Load Balancer,Email not working,No,Yes,13,Vendor issue,,May-23,Q2-2023
PRB0000155,07-05-2023 04:51,17-07-2023 04:51,Access Management,1 - Critical,2 - Department,Resolved,Security Ops,Deepak Nair,Mumbai,IT,Load Balancer,Cannot login,Yes,No,20,Human error,71,May-23,Q2-2023
PRB0000156,19-06-2023 14:13,25-06-2023 14:13,Access Management,3 - Medium,2 - Department,Closed,L1 Support,Pooja Iyer,Kolkata,Legal,ERP Server,VPN disconnecting,Yes,No,5,Hardware failure,6,Jun-23,Q2-2023
PRB0000157,09-09-2023 04:40,,Email/Collaboration,4 - Low,2 - Department,Open,L1 Support,Rohan Verma,Pune,Legal,Oracle DB,Email not working,No,Yes,20,Vendor issue,,Sep-23,Q3-2023
PRB0000158,26-07-2023 02:36,26-09-2023 02:36,Email/Collaboration,4 - Low,1 - Enterprise,Resolved,Infra Team,Kavya Reddy,Pune,Sales,Firewall-01,VPN disconnecting,No,No,1,Capacity issue,62,Jul-23,Q3-2023
PRB0000159,03-01-2023 23:21,18-02-2023 23:21,Access Management,4 - Low,1 - Enterprise,Closed,Network Ops,Vikram Joshi,Delhi NCR,Finance,Email Gateway,Database timeout,No,No,23,Hardware failure,46,Jan-23,Q1-2023
PRB0000160,23-01-2023 07:02,20-02-2023 07:02,Application,4 - Low,2 - Department,Closed,Security Ops,Rohan Verma,Hyderabad,Operations,Oracle DB,Slow performance,Yes,Yes,13,Software defect,28,Jan-23,Q1-2023
PRB0000161,27-11-2023 20:33,05-12-2023 20:33,Hardware,1 - Critical,2 - Department,Closed,Network Ops,Kavya Reddy,Bangalore,Marketing,VPN Gateway,Database timeout,No,Yes,10,Human error,8,Nov-23,Q4-2023
PRB0000162,24-12-2023 06:29,,Hardware,1 - Critical,2 - Department,In Progress,Infra Team,Deepak Nair,Pune,Procurement,VPN Gateway,Cannot login,No,Yes,25,Human error,,Dec-23,Q4-2023
PRB0000163,18-12-2023 13:10,,Application,1 - Critical,2 - Department,In Progress,L1 Support,Priya Menon,Mumbai,Sales,Load Balancer,Service unavailable,No,No,15,Software defect,,Dec-23,Q4-2023
PRB0000164,15-06-2023 13:57,13-09-2023 13:57,Application,1 - Critical,3 - Multiple Users,Resolved,Infra Team,Priya Menon,Bangalore,Marketing,Firewall-01,Slow performance,Yes,Yes,17,Configuration error,90,Jun-23,Q2-2023
PRB0000165,23-10-2023 07:18,,Software,2 - High,1 - Enterprise,In Progress,Infra Team,Vikram Joshi,Delhi NCR,Marketing,Email Gateway,System not responding,No,No,13,Human error,,Oct-23,Q4-2023
PRB0000166,03-01-2023 02:49,,Database,4 - Low,3 - Multiple Users,Open,DB Admins,Deepak Nair,Pune,Legal,Load Balancer,Application error,Yes,Yes,24,Vendor issue,,Jan-23,Q1-2023
PRB0000167,02-04-2023 23:37,10-06-2023 23:37,Network,4 - Low,1 - Enterprise,Resolved,L1 Support,Rahul Sharma,Kolkata,HR,ERP Server,Cannot login,Yes,Yes,7,Vendor issue,69,Apr-23,Q2-2023
PRB0000168,07-08-2023 04:55,,Hardware,1 - Critical,4 - Individual,In Progress,L2 Support,Rohan Verma,Mumbai,HR,Firewall-01,Email not working,Yes,No,21,Software defect,,Aug-23,Q3-2023
PRB0000169,30-04-2023 00:18,02-07-2023 00:18,Network,4 - Low,1 - Enterprise,Closed,DB Admins,Sneha Patil,Delhi NCR,HR,CRM Application,Cannot login,Yes,Yes,12,Human error,63,Apr-23,Q2-2023
PRB0000170,28-10-2023 18:40,06-12-2023 18:40,Software,2 - High,1 - Enterprise,Closed,Network Ops,Rahul Sharma,Bangalore,Operations,CRM Application,Slow performance,Yes,No,5,Capacity issue,39,Oct-23,Q4-2023
PRB0000171,30-08-2023 02:34,,Software,4 - Low,1 - Enterprise,In Progress,Network Ops,Sneha Patil,Kolkata,Finance,CRM Application,Cannot login,No,Yes,18,Hardware failure,,Aug-23,Q3-2023
PRB0000172,25-03-2023 07:58,17-06-2023 07:58,Application,3 - Medium,2 - Department,Closed,L1 Support,Sneha Patil,Mumbai,Legal,Active Directory,System not responding,No,No,15,Network fault,84,Mar-23,Q1-2023
PRB0000173,02-07-2023 13:01,12-08-2023 13:01,Email/Collaboration,1 - Critical,4 - Individual,Resolved,Security Ops,Rohan Verma,Chennai,Sales,Core Switch,Database timeout,Yes,No,12,Network fault,41,Jul-23,Q3-2023
PRB0000174,31-05-2023 17:51,,Security,2 - High,4 - Individual,In Progress,DB Admins,Kavya Reddy,Hyderabad,Finance,Active Directory,Slow performance,Yes,No,17,Hardware failure,,May-23,Q2-2023
PRB0000175,19-10-2023 12:59,,Security,1 - Critical,4 - Individual,Open,Infra Team,Priya Menon,Kolkata,Operations,ERP Server,Service unavailable,Yes,No,2,Hardware failure,,Oct-23,Q4-2023
PRB0000176,20-04-2023 03:55,,Database,2 - High,2 - Department,Open,App Support,Vikram Joshi,Chennai,Procurement,Email Gateway,Service unavailable,Yes,Yes,20,Human error,,Apr-23,Q2-2023
PRB0000177,13-03-2023 14:35,20-04-2023 14:35,Database,1 - Critical,2 - Department,Resolved,L2 Support,Rohan Verma,Mumbai,Procurement,Load Balancer,Printer offline,No,No,18,Network fault,38,Mar-23,Q1-2023
PRB0000178,18-11-2023 13:12,,Hardware,3 - Medium,3 - Multiple Users,Open,L1 Support,Amit Desai,Kolkata,Sales,Email Gateway,VPN disconnecting,Yes,Yes,11,Vendor issue,,Nov-23,Q4-2023
PRB0000179,26-06-2023 12:47,31-08-2023 12:47,Software,2 - High,3 - Multiple Users,Closed,Infra Team,Vikram Joshi,Kolkata,Sales,CRM Application,Database timeout,Yes,No,1,Software defect,66,Jun-23,Q2-2023
PRB0000180,26-10-2023 12:15,05-11-2023 12:15,Database,2 - High,1 - Enterprise,Closed,L1 Support,Pooja Iyer,Bangalore,Legal,CRM Application,Application error,No,No,7,Network fault,10,Oct-23,Q4-2023
PRB0000181,20-12-2023 15:29,,Database,2 - High,1 - Enterprise,Open,L1 Support,Vikram Joshi,Hyderabad,Legal,VPN Gateway,Email not working,Yes,No,2,Hardware failure,,Dec-23,Q4-2023
PRB0000182,07-03-2023 23:35,23-03-2023 23:35,Software,2 - High,1 - Enterprise,Closed,DB Admins,Rahul Sharma,Delhi NCR,Procurement,Active Directory,Cannot login,No,Yes,18,Network fault,16,Mar-23,Q1-2023
PRB0000183,23-09-2023 16:21,29-09-2023 16:21,Access Management,2 - High,3 - Multiple Users,Closed,L1 Support,Anjali Singh,Delhi NCR,HR,Email Gateway,Cannot login,No,No,19,Vendor issue,6,Sep-23,Q3-2023
PRB0000184,15-02-2023 07:38,,Network,1 - Critical,4 - Individual,In Progress,L2 Support,Kavya Reddy,Chennai,Legal,Active Directory,Email not working,Yes,Yes,8,Human error,,Feb-23,Q1-2023
PRB0000185,03-06-2023 20:40,31-07-2023 20:40,Software,3 - Medium,4 - Individual,Resolved,Network Ops,Vikram Joshi,Pune,Finance,ERP Server,Slow performance,No,Yes,19,Software defect,58,Jun-23,Q2-2023
PRB0000186,24-03-2023 04:26,,Email/Collaboration,1 - Critical,2 - Department,In Progress,Security Ops,Priya Menon,Delhi NCR,Marketing,Oracle DB,Email not working,Yes,No,10,Network fault,,Mar-23,Q1-2023
PRB0000187,04-09-2023 07:23,17-09-2023 07:23,Hardware,1 - Critical,2 - Department,Closed,L1 Support,Anjali Singh,Chennai,Procurement,Active Directory,Printer offline,No,Yes,13,Hardware failure,13,Sep-23,Q3-2023
PRB0000188,20-07-2023 06:03,25-08-2023 06:03,Hardware,1 - Critical,2 - Department,Closed,App Support,Rahul Sharma,Pune,Legal,SAP Production,Database timeout,No,No,17,Hardware failure,36,Jul-23,Q3-2023
PRB0000189,09-05-2023 13:55,,Software,1 - Critical,1 - Enterprise,Open,DB Admins,Kavya Reddy,Bangalore,Procurement,Load Balancer,Application error,Yes,Yes,6,Software defect,,May-23,Q2-2023
PRB0000190,04-11-2023 04:38,09-11-2023 04:38,Software,2 - High,3 - Multiple Users,Closed,DB Admins,Rahul Sharma,Chennai,IT,Load Balancer,Cannot login,No,No,17,Configuration error,5,Nov-23,Q4-2023
PRB0000191,26-11-2023 17:34,,Application,2 - High,4 - Individual,In Progress,App Support,Pooja Iyer,Hyderabad,Marketing,Email Gateway,Printer offline,Yes,No,24,Configuration error,,Nov-23,Q4-2023
PRB0000192,14-01-2023 07:25,,Access Management,2 - High,4 - Individual,Open,App Support,Deepak Nair,Hyderabad,Sales,Email Gateway,Printer offline,Yes,No,18,Software defect,,Jan-23,Q1-2023
PRB0000193,25-05-2023 19:44,,Application,1 - Critical,4 - Individual,In Progress,L2 Support,Vikram Joshi,Pune,Marketing,ERP Server,Printer offline,No,Yes,25,Vendor issue,,May-23,Q2-2023
PRB0000194,27-10-2023 01:47,31-10-2023 01:47,Hardware,4 - Low,1 - Enterprise,Closed,L1 Support,Vikram Joshi,Hyderabad,Marketing,Load Balancer,System not responding,Yes,No,22,Vendor issue,4,Oct-23,Q4-2023
PRB0000195,02-04-2023 21:13,11-04-2023 21:13,Software,3 - Medium,1 - Enterprise,Closed,L2 Support,Deepak Nair,Kolkata,IT,Oracle DB,Slow performance,No,No,25,Human error,9,Apr-23,Q2-2023
PRB0000196,08-10-2023 10:23,,Network,3 - Medium,1 - Enterprise,In Progress,L1 Support,Pooja Iyer,Pune,IT,Firewall-01,System not responding,No,No,13,Software defect,,Oct-23,Q4-2023
PRB0000197,08-08-2023 01:13,,Network,3 - Medium,2 - Department,In Progress,L1 Support,Anjali Singh,Delhi NCR,Marketing,ERP Server,Service unavailable,Yes,Yes,4,Vendor issue,,Aug-23,Q3-2023
PRB0000198,08-08-2023 17:35,25-10-2023 17:35,Database,4 - Low,4 - Individual,Resolved,Network Ops,Vikram Joshi,Chennai,IT,CRM Application,Database timeout,Yes,Yes,19,Human error,78,Aug-23,Q3-2023
PRB0000199,16-05-2023 08:31,,Network,1 - Critical,4 - Individual,Open,L2 Support,Anjali Singh,Hyderabad,IT,VPN Gateway,Application error,No,No,23,Vendor issue,,May-23,Q2-2023
PRB0000200,03-04-2023 13:33,10-04-2023 13:33,Access Management,2 - High,3 - Multiple Users,Closed,DB Admins,Rohan Verma,Hyderabad,Procurement,SAP Production,System not responding,No,No,1,Configuration error,7,Apr-23,Q2-2023
PRB0000201,05-08-2023 14:48,,Security,2 - High,4 - Individual,In Progress,DB Admins,Vikram Joshi,Delhi NCR,Legal,Firewall-01,Application error,No,Yes,25,Human error,,Aug-23,Q3-2023
PRB0000202,30-01-2023 20:35,,Application,4 - Low,2 - Department,In Progress,L2 Support,Anjali Singh,Delhi NCR,HR,Active Directory,Slow performance,No,No,15,Human error,,Jan-23,Q1-2023
PRB0000203,09-06-2023 09:46,18-06-2023 09:46,Hardware,3 - Medium,4 - Individual,Closed,DB Admins,Rohan Verma,Pune,Finance,Email Gateway,Network outage,No,No,20,Configuration error,9,Jun-23,Q2-2023
PRB0000204,11-05-2023 10:44,04-07-2023 10:44,Access Management,2 - High,4 - Individual,Closed,L2 Support,Vikram Joshi,Delhi NCR,HR,Oracle DB,Email not working,Yes,Yes,18,Human error,54,May-23,Q2-2023
PRB0000205,12-03-2023 20:52,20-03-2023 20:52,Hardware,1 - Critical,1 - Enterprise,Resolved,Security Ops,Deepak Nair,Delhi NCR,Marketing,Oracle DB,Database timeout,No,No,20,Software defect,8,Mar-23,Q1-2023
PRB0000206,18-06-2023 22:53,10-07-2023 22:53,Software,4 - Low,2 - Department,Closed,Infra Team,Kavya Reddy,Delhi NCR,Sales,Core Switch,Service unavailable,Yes,Yes,24,Hardware failure,22,Jun-23,Q2-2023
PRB0000207,08-06-2023 20:09,06-08-2023 20:09,Email/Collaboration,3 - Medium,3 - Multiple Users,Closed,Security Ops,Vikram Joshi,Pune,Legal,Core Switch,Network outage,Yes,Yes,25,Hardware failure,59,Jun-23,Q2-2023
PRB0000208,07-12-2023 05:02,,Network,1 - Critical,4 - Individual,In Progress,L2 Support,Pooja Iyer,Pune,Marketing,Core Switch,VPN disconnecting,Yes,No,20,Vendor issue,,Dec-23,Q4-2023
PRB0000209,12-01-2023 18:02,,Application,1 - Critical,3 - Multiple Users,In Progress,L2 Support,Rahul Sharma,Chennai,Procurement,CRM Application,Network outage,No,No,12,Human error,,Jan-23,Q1-2023
PRB0000210,05-10-2023 02:37,,Hardware,2 - High,3 - Multiple Users,In Progress,Security Ops,Deepak Nair,Delhi NCR,HR,Active Directory,VPN disconnecting,Yes,No,3,Configuration error,,Oct-23,Q4-2023
PRB0000211,04-12-2024 03:07,,Access Management,3 - Medium,1 - Enterprise,In Progress,DB Admins,Pooja Iyer,Hyderabad,Finance,Core Switch,Slow performance,Yes,Yes,7,Vendor issue,,Dec-24,Q4-2024
PRB0000212,23-03-2024 23:44,18-05-2024 23:44,Software,3 - Medium,1 - Enterprise,Closed,DB Admins,Kavya Reddy,Hyderabad,IT,VPN Gateway,Email not working,No,No,13,Vendor issue,56,Mar-24,Q1-2024
PRB0000213,08-02-2024 22:06,,Hardware,1 - Critical,1 - Enterprise,Open,DB Admins,Amit Desai,Bangalore,Finance,Firewall-01,Slow performance,Yes,No,7,Hardware failure,,Feb-24,Q1-2024
PRB0000214,10-12-2024 18:33,17-12-2024 18:33,Email/Collaboration,3 - Medium,1 - Enterprise,Resolved,Network Ops,Priya Menon,Kolkata,Procurement,Oracle DB,Service unavailable,No,Yes,8,Configuration error,7,Dec-24,Q4-2024
PRB0000215,19-09-2024 18:00,30-10-2024 18:00,Access Management,3 - Medium,4 - Individual,Resolved,App Support,Amit Desai,Kolkata,HR,VPN Gateway,Application error,No,Yes,12,Hardware failure,41,Sep-24,Q3-2024
PRB0000216,23-12-2024 23:14,,Application,1 - Critical,1 - Enterprise,In Progress,Infra Team,Amit Desai,Hyderabad,Finance,VPN Gateway,Printer offline,No,No,6,Hardware failure,,Dec-24,Q4-2024
PRB0000217,28-04-2024 05:22,,Hardware,4 - Low,1 - Enterprise,In Progress,Security Ops,Rahul Sharma,Kolkata,Operations,CRM Application,System not responding,No,Yes,22,Human error,,Apr-24,Q2-2024
PRB0000218,17-08-2024 09:39,28-10-2024 09:39,Security,4 - Low,1 - Enterprise,Resolved,App Support,Anjali Singh,Kolkata,IT,CRM Application,Printer offline,Yes,No,15,Configuration error,72,Aug-24,Q3-2024
PRB0000219,05-03-2024 02:00,,Software,3 - Medium,4 - Individual,Open,Security Ops,Vikram Joshi,Kolkata,Finance,Email Gateway,System not responding,Yes,No,3,Human error,,Mar-24,Q1-2024
PRB0000220,29-12-2024 00:32,,Hardware,4 - Low,3 - Multiple Users,In Progress,App Support,Amit Desai,Pune,Procurement,Core Switch,Application error,Yes,No,18,Software defect,,Dec-24,Q4-2024
PRB0000221,11-06-2024 16:19,,Application,2 - High,1 - Enterprise,In Progress,DB Admins,Rahul Sharma,Chennai,HR,Core Switch,Cannot login,Yes,No,17,Configuration error,,Jun-24,Q2-2024
PRB0000222,15-08-2024 19:43,22-10-2024 19:43,Hardware,3 - Medium,4 - Individual,Resolved,L2 Support,Deepak Nair,Kolkata,HR,CRM Application,System not responding,Yes,No,3,Capacity issue,68,Aug-24,Q3-2024
PRB0000223,01-07-2024 20:15,,Database,2 - High,2 - Department,In Progress,Network Ops,Rohan Verma,Delhi NCR,Marketing,Oracle DB,VPN disconnecting,Yes,Yes,24,Software defect,,Jul-24,Q3-2024
PRB0000224,12-08-2024 15:26,,Network,4 - Low,4 - Individual,In Progress,Infra Team,Pooja Iyer,Hyderabad,Marketing,Firewall-01,VPN disconnecting,Yes,No,22,Configuration error,,Aug-24,Q3-2024
PRB0000225,02-06-2024 09:46,18-08-2024 09:46,Software,2 - High,4 - Individual,Resolved,L1 Support,Rohan Verma,Hyderabad,Finance,Load Balancer,Service unavailable,Yes,Yes,10,Network fault,77,Jun-24,Q2-2024
PRB0000226,15-09-2024 06:26,13-11-2024 06:26,Email/Collaboration,1 - Critical,2 - Department,Resolved,Network Ops,Pooja Iyer,Kolkata,Operations,Active Directory,Application error,Yes,Yes,16,Configuration error,59,Sep-24,Q3-2024
PRB0000227,21-08-2024 10:00,,Email/Collaboration,2 - High,1 - Enterprise,Open,L1 Support,Rohan Verma,Chennai,Sales,SAP Production,Printer offline,Yes,No,5,Configuration error,,Aug-24,Q3-2024
PRB0000228,10-07-2024 00:38,07-10-2024 00:38,Email/Collaboration,3 - Medium,1 - Enterprise,Resolved,App Support,Pooja Iyer,Hyderabad,Operations,Oracle DB,Database timeout,Yes,Yes,1,Network fault,89,Jul-24,Q3-2024
PRB0000229,03-09-2024 17:47,,Email/Collaboration,3 - Medium,2 - Department,In Progress,L2 Support,Pooja Iyer,Bangalore,Legal,VPN Gateway,Slow performance,No,No,8,Configuration error,,Sep-24,Q3-2024
PRB0000230,13-09-2024 08:20,13-10-2024 08:20,Hardware,3 - Medium,2 - Department,Resolved,DB Admins,Anjali Singh,Hyderabad,Sales,SAP Production,Network outage,Yes,Yes,10,Network fault,30,Sep-24,Q3-2024
PRB0000231,05-02-2024 12:13,,Access Management,2 - High,1 - Enterprise,Open,Network Ops,Rohan Verma,Hyderabad,Sales,Load Balancer,Cannot login,Yes,Yes,23,Human error,,Feb-24,Q1-2024
PRB0000232,03-10-2024 08:40,,Application,4 - Low,2 - Department,In Progress,DB Admins,Vikram Joshi,Kolkata,Finance,Oracle DB,Printer offline,No,Yes,9,Capacity issue,,Oct-24,Q4-2024
PRB0000233,01-10-2024 06:43,,Email/Collaboration,4 - Low,2 - Department,In Progress,L2 Support,Kavya Reddy,Bangalore,Marketing,Email Gateway,Database timeout,Yes,No,10,Network fault,,Oct-24,Q4-2024
PRB0000234,30-11-2024 10:38,10-12-2024 10:38,Database,2 - High,4 - Individual,Closed,L1 Support,Rohan Verma,Kolkata,Operations,Load Balancer,Email not working,Yes,Yes,7,Software defect,10,Nov-24,Q4-2024
PRB0000235,25-12-2024 19:57,,Security,1 - Critical,2 - Department,In Progress,DB Admins,Vikram Joshi,Chennai,IT,ERP Server,Cannot login,No,No,4,Human error,,Dec-24,Q4-2024
PRB0000236,09-11-2024 09:39,17-11-2024 09:39,Network,1 - Critical,3 - Multiple Users,Closed,L2 Support,Priya Menon,Kolkata,Legal,CRM Application,Cannot login,Yes,No,15,Human error,8,Nov-24,Q4-2024
PRB0000237,05-02-2024 18:26,,Access Management,2 - High,4 - Individual,Open,L2 Support,Priya Menon,Hyderabad,HR,Firewall-01,Email not working,No,Yes,13,Capacity issue,,Feb-24,Q1-2024
PRB0000238,07-01-2024 05:10,31-01-2024 05:10,Security,4 - Low,3 - Multiple Users,Closed,Infra Team,Deepak Nair,Chennai,Legal,CRM Application,Application error,No,Yes,21,Network fault,24,Jan-24,Q1-2024
PRB0000239,14-02-2024 13:11,,Access Management,2 - High,2 - Department,Open,DB Admins,Deepak Nair,Pune,IT,Oracle DB,VPN disconnecting,Yes,Yes,10,Capacity issue,,Feb-24,Q1-2024
PRB0000240,18-03-2024 02:41,,Network,3 - Medium,4 - Individual,In Progress,Security Ops,Rahul Sharma,Kolkata,Procurement,Oracle DB,System not responding,No,Yes,9,Hardware failure,,Mar-24,Q1-2024
PRB0000241,20-01-2024 17:29,17-04-2024 17:29,Email/Collaboration,1 - Critical,2 - Department,Resolved,Infra Team,Pooja Iyer,Chennai,Marketing,Core Switch,System not responding,Yes,Yes,17,Vendor issue,88,Jan-24,Q1-2024
PRB0000242,07-11-2024 02:59,27-11-2024 02:59,Email/Collaboration,2 - High,1 - Enterprise,Resolved,Network Ops,Anjali Singh,Mumbai,Legal,ERP Server,Cannot login,Yes,Yes,24,Human error,20,Nov-24,Q4-2024
PRB0000243,12-07-2024 02:36,,Access Management,2 - High,4 - Individual,Open,Security Ops,Priya Menon,Kolkata,Sales,SAP Production,Service unavailable,No,Yes,9,Human error,,Jul-24,Q3-2024
PRB0000244,28-01-2024 16:45,,Hardware,3 - Medium,3 - Multiple Users,In Progress,L1 Support,Amit Desai,Hyderabad,Marketing,ERP Server,Cannot login,Yes,No,10,Vendor issue,,Jan-24,Q1-2024
PRB0000245,02-08-2024 07:33,,Access Management,2 - High,1 - Enterprise,Open,Infra Team,Deepak Nair,Mumbai,Legal,Email Gateway,Service unavailable,Yes,No,9,Vendor issue,,Aug-24,Q3-2024
